OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA,OWNER
282368351,159,10th & K St NW,31263,38.9024,-77.02622,YES,NO,,,NO,14,8,397725.65241957,137172.04739912,,DC
282368352,160,Fairfax Dr & Wilson Blvd,31023,38.885801,-77.097745,YES,NO,,,NO,4,7,391519.53488356,135333.64078152,,
282368353,161,Key Blvd & N Quinn St,31027,38.896355,-77.078408,YES,NO,,,NO,1,10,393198.24035826,136503.59842391,,
282368354,162,1st & K St SE,31628,38.878854,-77.005727,YES,NO,,,NO,2,13,399503.07062433,134557.94595692,,DC
282368355,163,39th & Calvert St NW / Stoddert,31306,38.922649,-77.077271,YES,NO,,,NO,9,10,393299.34379144,139422.36308098,,DC
282368356,164,1st & Washington Hospital Center NW,31507,38.928743,-77.012457,YES,NO,,,NO,7,8,398919.86707704,140096.08692818,,DC
282368357,165,Virginia Square Metro / Monroe St & 9th St N,31024,38.882788,-77.103148,YES,NO,,,NO,7,12,391050.38685989,134999.69056817,,
282368358,166,Central Library / Quincy St & 10th St N,31025,38.88397,-77.10783,YES,NO,,,NO,3,8,390644.30934888,135131.37099114,,
282368359,167,Washington Blvd & 10th St N,31026,38.884734,-77.093485,YES,NO,,,NO,6,8,391889.01580315,135214.80848005,,
282368360,168,Jefferson Dr & 14th St SW,31247,38.888553,-77.032429,YES,NO,,,NO,11,12,397186.53186857,135635.0937417,,DC
282368361,169,Smithsonian-National Mall / Jefferson Dr & 12th St SW,31248,38.888767,-77.02858,YES,NO,,,NO,10,25,397520.46999936,135658.73782359,,DC
282368362,170,George Mason Dr & Wilson Blvd,31036,38.87887,-77.1207,YES,NO,,,NO,2,13,389526.91727648,134566.63015205,,
282368363,171,6th St & Indiana Ave NW,31264,38.894573,-77.01994,YES,NO,,,NO,18,1,398270.19576117,136303.05019148,,DC
282368364,172,N Veitch St & Key Blvd,31028,38.893237,-77.086063,YES,NO,,,NO,4,7,392533.85610369,136158.07410917,,
282368365,173,Lee Hwy & N Adams St,31030,38.89593,-77.089006,YES,NO,,,NO,0,18,392278.83629398,136457.26307774,,
282368366,174,15th St & N Scott St,31031,38.89054,-77.08095,YES,NO,,,NO,0,10,392977.15386494,135858.28028852,,
282368367,175,Washington Blvd & 7th St N,31032,38.88081,-77.090792,YES,NO,,,NO,3,8,392122.23367875,134778.97873842,,
282368368,263,Norfolk Ave & Fairmont St,32000,38.988562,-77.096539,YES,NO,,,NO,9,2,391636.2322207,146740.89768535,,
282368369,264,E Montgomery Ave & Maryland Ave,32007,39.084125,-77.151291,YES,NO,,,NO,4,11,386910.31438669,157355.87132814,,
